LAT,LON,SID,USA_WIND,CATEGORY,NSEC_TIME,ISO_TIME
23.822,122.94,1998243N23122,20.0,TD,904575600000000000,1998-08-31 15:00:00
24.2,123.3,1998243N23122,20.0,TD,904586400000000000,1998-08-31 18:00:00
24.502,123.775,1998243N23122,22.0,TD,904597200000000000,1998-08-31 21:00:00
24.76,124.52,1998243N23122,25.0,TD,904608000000000000,1998-09-01 00:00:00
24.82,125.054,1998243N23122,25.0,TD,904618800000000000,1998-09-01 03:00:00
24.886,125.571,1998243N23122,25.0,TD,904629600000000000,1998-09-01 06:00:00
25.094,126.254,1998243N23122,25.0,TD,904640400000000000,1998-09-01 09:00:00
25.4,127.15,1998243N23122,25.0,TD,904651200000000000,1998-09-01 12:00:00
25.793,128.054,1998243N23122,25.0,TD,904662000000000000,1998-09-01 15:00:00
26.211,128.956,1998243N23122,25.0,TD,904672800000000000,1998-09-01 18:00:00
26.533,129.63,1998243N23122,25.0,TD,904683600000000000,1998-09-01 21:00:00
26.827,130.191,1998243N23122,25.0,TD,904694400000000000,1998-09-02 00:00:00
27.129,130.721,1998243N23122,27.0,TD,904705200000000000,1998-09-02 03:00:00
27.4,131.267,1998243N23122,30.0,TD,904716000000000000,1998-09-02 06:00:00
27.629,131.894,1998243N23122,30.0,TD,904726800000000000,1998-09-02 09:00:00
27.833,132.567,1998243N23122,30.0,TD,904737600000000000,1998-09-02 12:00:00
28.02,133.208,1998243N23122,30.0,TD,904748400000000000,1998-09-02 15:00:00
28.233,133.933,1998243N23122,30.0,TD,904759200000000000,1998-09-02 18:00:00
28.534,134.851,1998243N23122,30.0,TD,904770000000000000,1998-09-02 21:00:00
28.809,135.864,1998243N23122,30.0,TD,904780800000000000,1998-09-03 00:00:00
28.974,136.673,1998243N23122,30.0,TD,904791600000000000,1998-09-03 03:00:00
29.078,137.322,1998243N23122,30.0,TD,904802400000000000,1998-09-03 06:00:00
29.175,137.9,1998243N23122,30.0,TD,904813200000000000,1998-09-03 09:00:00
29.35,138.5,1998243N23122,30.0,TD,904824000000000000,1998-09-03 12:00:00
29.496,139.087,1998243N23122,30.0,TD,904834800000000000,1998-09-03 15:00:00
